When was Elizabethtown College first opened?,1899,1,Etown was first opened in 1899.,1,2,3,4,5,6,7,8,9,10,11,12,13,Elizabethtown College was first opened in 1899.
When was Etown opened?,1899,1,Etown was opened in 1899.,history ,students,location,Sports,Costs,Size,Greek life,majors,classes,Profs,Start date,Unique,fun things,Elizabethtown College was opened in 1899.
Who originally founded Elizabethtown College?,Reverend Jacob G. Francis in 1899,1,Etown was founded by Reverend Jacob G. Francis in 1899.,,,,,,,0,,,,,,,Elizabethtown College was founded by Reverend Jacob G. Francis in 1899.
Who founded Etown?,Reverend Jacob G. Francis in 1899,1,Reverend Jacob G. Francis founded Etown in 1899.,14,15,16,17,18,19,20,21,22,23,,,,Reverend Jacob G. Francis founded Elizabethtown College in 1899.
When was Elizabethtown College originally founded?,1899,1,Etown was founded in 1899.,Acceptance,class groups,skool requir.,study abrod,student life,food,dorms,wifi,Jobs,Grduatiopn,,,,Elizabethtown College was founded in 1899.
When was Etown founded?,1899,1,,,,,,,,,,,,,,,
How many students attend Elizabethtown College?,around 1688  students,2,1688 students attend Etown.,24,25,26,27,28,,,,,,,,,1688 students attend Elizabethtown College.
How many students go to Etown?,Around 1688  students,2,1688 students go to Etown.,accreddiation,Security,"stats, sat gpa",clubs,alumni,,,,,,,,,1688 students go to Elizabethtown College.
How many undergraduate students attend Elizabethtown College?,1688  students,2,There are 1688 undergrad students at Etown.,,,,,,,,,,,,,,There are 1688 undergrad students at Elizabethtown College.
How many undergraduate students go to Etown?,1688  students,2,1668 undergraduate students go to Etown.,,,,,,,,,,,,,,1668 undergraduate students go to Elizabethtown College.
How many graduate students go to Etown?,"For more information on this, check out: https://www.etown.edu/academics/graduate-programs.aspx",2,,,,,,,,,,,,,,,
How many graduate students attend Elizabethtown College?,"For more information on this, check out: https://www.etown.edu/academics/graduate-programs.aspx",2,,,,,,,,,,,,,,,
Where is Elizabethtown College located?,Elizabethown Pennsylvania,3,Etown is located in Elizabethown Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is located in Elizabethown Pennsylvania
Where is Etown?,Elizabethown Pennsylvania,3,Etown is in Elizabethown Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is in Elizabethown Pennsylvania
What division is Etown sports?,Division 3 sports,4,Etown is in Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is in Pennsylvania
What Elizabethtown College division sports?,Division 3 sports,4,Etown has division 3 sports.,,,,,,,,,,,,,,Elizabethtown College has division 3 sports.
How much does it cost to attend Elizabethtown College?,"$47,170 ",5,Etown sports are drivision 3,,,,,,,,,,,,,,Elizabethtown College sports are drivision 3
How much does it cost to go to Etown?,"$47,170 ",5,The sports at Etown are division 3,,,,,,,,,,,,,,The sports at Elizabethtown College are division 3
How much does Etown cost per year?,"$47,170 ",5,"It cost $47,170 to attend Etown yearly.",,,,,,,,,,,,,,"It cost $47,170 to attend Elizabethtown College yearly."
How much does Etown cost per semester?,"23,585 dollars per semester",5,"It cost $47,170 a year to attend Etown.",,,,,,,,,,,,,,"It cost $47,170 a year to attend Elizabethtown College."
How big is Etown?,"Undergrad enrollment of 1,688 and the school lies on 203 acres",6,,,,,,,,,,,,,,,
Are there fraternities or sororities at Etown?,No frats or sororities,7,There are no fraternities and no sororities at Etown,,,,,,,,,,,,,,There are no fraternities and no sororities at Elizabethtown College
Are there frats at Etown?,No frats or sororities,7,There is no Greek life at Etown,,,,,,,,,,,,,,There is no Greek life at Elizabethtown College
Are there sorotities at Etown?,No frats or sororities,7,There are no frats or sororities at Etown.,,,,,,,,,,,,,,There are no frats or sororities at Elizabethtown College.
How old is Etown?,It has been open since 1899 so it has been open for 123 years,1,Etown is 123 years old,,,,,,,,,,,,,,Elizabethtown College is 123 years old
What majors are popular at Etown?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,Etown has been opened for 123 years,,,,,,,,,,,,,,Elizabethtown College has been opened for 123 years
What are the majors at Etown?,"For more information on this, check out: https://www.etown.edu/academics/majors-minors.aspx",8,Etown has a lot of majors and minors,,,,,,,,,,,,,,Elizabethtown College has a lot of majors and minors
How big are the classes?,Less than 20 students per class usually,9,Etown is a liberal arts school,,,,,,,,,,,,,,Elizabethtown College is a liberal arts school
What departments or programs have the best reputations?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,The classes generally have 20 students in each ,,,,,,,,,,,,,,The classes generally have 20 students in each 
Are your professors good teachers?,Yes a lot of them have worked in the industry,10,Etown has great programs for every major,,,,,,,,,,,,,,Elizabethtown College has great programs for every major
How many kids are in each classroom?,Less than 20 students per class usually,9,Each classroom at Etown generally holds 20 students,,,,,,,,,,,,,,Each classroom at Elizabethtown College generally holds 20 students
What is the average class size?,Less than 20 students per class usually,9,There are no more than 20 students per classroom on average,,,,,,,,,,,,,,There are no more than 20 students per classroom on average
What state is Etown College in?,Pennsylvania,3,School starts in August for Etown,,,,,,,,,,,,,,School starts in August for Elizabethtown College
When does Etown start school?,"For more information on this, check out: https://www.etown.edu/offices/registration-records/calendar.aspx",11,Etown starts school in August,,,,,,,,,,,,,,Elizabethtown College starts school in August
Do the professors hold office hours?,Yes professors have office hours,10,Etown's professors hold office hours,,,,,,,,,,,,,,Elizabethtown College's professors hold office hours
What is somehting unique about Etown?,"For more information on this, check out: https://www.etown.edu/about/",12,The professors at Etown hold office hours,,,,,,,,,,,,,,The professors at Elizabethtown College hold office hours
What are fun things to do at Etown?,"For more information on this, check out: https://www.etown.edu/campus-life/student-clubs.aspx",13,"There are a lot of clubs, sports, and events that Etown has",,,,,,,,,,,,,,"There are a lot of clubs, sports, and events that Elizabethtown College has"
